PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;FECHA_INICIAL;FECHA_FINAL;VALOR
18;189;999;27;18189999_27_M;2021-05-01 00:00:00;2021-05-31 00:00:00;0.035
18;189;999;27;18189999_27_M;2021-06-01 00:00:00;2021-06-30 00:00:00;0.035
18;189;999;27;18189999_27_M;2021-07-01 00:00:00;2021-07-31 00:00:00;0.035
18;189;999;27;18189999_27_M;2021-08-01 00:00:00;2021-08-31 00:00:00;0.035
18;189;999;27;18189999_27_M;2021-09-01 00:00:00;2021-09-30 00:00:00;0.035
18;189;999;27;18189999_27_M;2021-10-01 00:00:00;2021-10-31 00:00:00;0.035
18;189;999;27;18189999_27_M;2021-11-01 00:00:00;2021-11-30 00:00:00;0.035
18;189;999;27;18189999_27_M;2021-04-01 00:00:00;2021-04-30 00:00:00;0.035
18;189;999;27;18189999_27_M;2021-12-01 00:00:00;2021-12-31 00:00:00;0.035
33;36;999;27;33036999_27_M;2021-01-01 00:00:00;2021-01-31 00:00:00;0.063
33;36;999;27;33036999_27_M;2021-02-01 00:00:00;2021-02-28 00:00:00;0.123
33;36;999;27;33036999_27_M;2021-03-01 00:00:00;2021-03-31 00:00:00;0.035
33;36;999;27;33036999_27_M;2021-04-01 00:00:00;2021-04-30 00:00:00;0.035
33;36;999;27;33036999_27_M;2021-05-01 00:00:00;2021-05-31 00:00:00;0.035
33;36;999;27;33036999_27_M;2021-06-01 00:00:00;2021-06-30 00:00:00;0.035
33;36;999;27;33036999_27_M;2021-07-01 00:00:00;2021-07-31 00:00:00;0.035
33;36;999;27;33036999_27_M;2021-08-01 00:00:00;2021-08-31 00:00:00;0.035
33;36;999;27;33036999_27_M;2021-09-01 00:00:00;2021-09-30 00:00:00;0.035
33;36;999;27;33036999_27_M;2021-10-01 00:00:00;2021-10-31 00:00:00;0.035
33;36;999;27;33036999_27_M;2021-11-01 00:00:00;2021-11-30 00:00:00;0.035
33;36;999;27;33036999_27_M;2021-12-01 00:00:00;2021-12-31 00:00:00;0.035
46;263;999;27;46263999_27_M;2021-01-01 00:00:00;2021-01-31 00:00:00;0.025
46;263;999;27;46263999_27_M;2021-02-01 00:00:00;2021-02-28 00:00:00;0.018
