Total Nacional;Comunidades y Ciudades Autónomas;Tipo de partículas;Total
Total Nacional;;PM10;23
Total Nacional;;PM2,5;11
Total Nacional;01 Andalucía;PM10;28
Total Nacional;01 Andalucía;PM2,5;11
Total Nacional;02 Aragón;PM10;20
Total Nacional;02 Aragón;PM2,5;10
Total Nacional;03 Asturias, Principado de;PM10;26
Total Nacional;03 Asturias, Principado de;PM2,5;11
Total Nacional;04 Balears, Illes;PM10;21
Total Nacional;04 Balears, Illes;PM2,5;14
Total Nacional;05 Canarias;PM10;36
Total Nacional;05 Canarias;PM2,5;11
Total Nacional;06 Cantabria;PM10;20
Total Nacional;06 Cantabria;PM2,5;8
Total Nacional;07 Castilla y León;PM10;18
Total Nacional;07 Castilla y León;PM2,5;9
Total Nacional;08 Castilla - La Mancha;PM10;29
Total Nacional;08 Castilla - La Mancha;PM2,5;10
Total Nacional;09 Cataluña;PM10;25
Total Nacional;09 Cataluña;PM2,5;15
Total Nacional;10 Comunitat Valenciana;PM10;19
Total Nacional;10 Comunitat Valenciana;PM2,5;11
Total Nacional;11 Extremadura;PM10;14
Total Nacional;11 Extremadura;PM2,5;7
Total Nacional;12 Galicia;PM10;19
Total Nacional;12 Galicia;PM2,5;12
Total Nacional;13 Madrid, Comunidad de;PM10;21
Total Nacional;13 Madrid, Comunidad de;PM2,5;10
Total Nacional;14 Murcia, Región de;PM10;31
Total Nacional;14 Murcia, Región de;PM2,5;16
Total Nacional;15 Navarra, Comunidad Foral de;PM10;16
Total Nacional;15 Navarra, Comunidad Foral de;PM2,5;13
Total Nacional;16 País Vasco;PM10;18
Total Nacional;16 País Vasco;PM2,5;10
Total Nacional;17 Rioja, La;PM10;21
Total Nacional;17 Rioja, La;PM2,5;7
Total Nacional;18 Ceuta;PM10;16
Total Nacional;18 Ceuta;PM2,5;8
Total Nacional;19 Melilla;PM10;..
Total Nacional;19 Melilla;PM2,5;..
