Defunciones según causa de muerte. Avance enero-mayo 2020;;;;;;;;;;
Resultados detallados. Enero 2020-Mayo 2020;;;;;;;;;;
;;;;;;;;;;
Tasas de mortalidad por causas (lista reducida), sexo y tamaño de municipio;;;;;;;;;;
Unidades: defunciones por 100.000 habitantes;;;;;;;;;;
;;;;;;;;;;
 ;Total;Municipio menor o igual a 10.000 habitantes;Municipio de 10.001 a  20.000 habitantes;Municipio de 20.001 a  50.000 habitantes;Municipio de 50.001 a 100.000 habitantes;Municipio mayor de 100.000 habitantes;Capital;;;
001-102 I-XXII.Todas las causas;;;;;;;;;;
    Total;487,050;341,054;324,457;399,892;480,827;529,092;662,621;;;
    Hombres;497,021;316,919;305,719;406,251;492,692;569,327;706,766;;;
    Mujeres;477,466;365,946;342,974;393,639;469,365;490,916;622,734;;;
001-008 I.Enfermedades infecciosas y parasitarias;;;;;;;;;;
    Total;102,028;49,305;47,814;69,033;99,229;136,739;158,799;;;
    Hombres;106,303;39,274;41,787;71,087;102,896;154,346;176,698;;;
    Mujeres;97,918;59,651;53,769;67,012;95,686;120,033;142,627;;;
00A Covid-19 Virus identificado;;;;;;;;;;
    Total;68,841;23,551;26,364;45,889;64,410;100,699;113,619;;;
    Hombres;76,088;18,397;23,386;49,930;70,783;119,910;133,571;;;
    Mujeres;61,874;28,866;29,306;41,915;58,253;82,472;95,591;;;
00B Covid-19 Virus no identificado (sospechoso);;;;;;;;;;
    Total;27,476;23,089;18,622;18,685;28,202;29,097;36,717;;;
    Hombres;24,442;18,872;15,784;16,505;25,282;27,072;34,089;;;
    Mujeres;30,391;27,438;21,426;20,829;31,023;31,018;39,093;;;
001 Enfermedades infecciosas intestinales;;;;;;;;;;
    Total;0,974;0,640;0,619;0,747;1,254;1,015;1,302;;;
    Hombres;0,835;0,413;0,582;0,702;1,335;0,724;1,130;;;
    Mujeres;1,108;0,874;0,657;0,792;1,176;1,292;1,457;;;
002 Tuberculosis y sus efectos tardíos;;;;;;;;;;
    Total;0,190;0,052;0,124;0,168;0,270;0,207;0,275;;;
    Hombres;0,245;..;0,208;0,286;0,236;0,255;0,400;;;
    Mujeres;0,136;0,107;0,041;0,051;0,303;0,162;0,162;;;
003 Enfermedad meningocócica;;;;;;;;;;
    Total;0,025;..;..;0,039;0,019;0,021;0,046;;;
    Hombres;0,030;..;..;0,026;0,039;0,043;0,055;;;
    Mujeres;0,021;..;..;0,051;..;..;0,037;;;
004 Septicemia;;;;;;;;;;
    Total;2,412;1,207;1,363;1,920;2,758;3,026;3,434;;;
    Hombres;2,306;0,951;1,163;1,819;2,513;3,235;3,472;;;
    Mujeres;2,514;1,471;1,560;2,019;2,996;2,827;3,399;;;
005 Hepatitis vírica;;;;;;;;;;
    Total;0,445;0,283;0,165;0,399;0,675;0,497;0,562;;;
    Hombres;0,456;0,248;0,125;0,468;0,785;0,596;0,537;;;
    Mujeres;0,434;0,320;0,205;0,332;0,569;0,404;0,585;;;
006 SIDA;;;;;;;;;;
    Total;0,344;0,063;0,103;0,271;0,386;0,497;0,569;;;
    Hombres;0,559;0,103;0,208;0,494;0,510;0,766;0,965;;;
    Mujeres;0,136;0,021;..;0,051;0,265;0,242;0,212;;;
007 VIH+ (portador, evidencias de laboratorio del VIH,...);;;;;;;;;;
    Total;0,002;..;..;0,013;..;..;..;;;
    Hombres;0,004;..;..;0,026;..;..;..;;;
    Mujeres;..;..;..;..;..;..;..;;;
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;;;;;;;;;;
    Total;1,320;0,420;0,454;0,902;1,254;1,679;2,276;;;
    Hombres;1,338;0,289;0,332;0,832;1,413;1,745;2,480;;;
    Mujeres;1,302;0,554;0,575;0,971;1,100;1,616;2,092;;;
009-041 II.Tumores;;;;;;;;;;
    Total;99,559;58,835;60,366;81,249;94,290;109,922;145,163;;;
    Hombres;121,699;70,507;71,154;100,094;115,616;137,958;180,915;;;
    Mujeres;78,277;46,796;49,706;62,719;73,689;83,320;112,859;;;
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;;;;;;;;;;
    Total;2,155;1,249;1,383;1,353;2,353;2,197;3,290;;;
    Hombres;3,149;1,736;1,745;1,923;3,612;3,150;5,043;;;
    Mujeres;1,199;0,746;1,026;0,792;1,138;1,292;1,706;;;
010 Tumor maligno del esófago;;;;;;;;;;
    Total;1,556;0,661;0,929;1,508;1,524;1,679;2,309;;;
    Hombres;2,603;1,013;1,620;2,521;2,316;2,980;4,010;;;
    Mujeres;0,550;0,298;0,246;0,511;0,759;0,444;0,772;;;
011 Tumor maligno del estómago;;;;;;;;;;
    Total;4,379;2,823;2,725;3,544;3,569;5,388;6,253;;;
    Hombres;5,407;3,121;3,614;4,185;4,044;6,896;8,171;;;
    Mujeres;3,391;2,516;1,847;2,914;3,110;3,958;4,519;;;
012 Tumor maligno del colon;;;;;;;;;;
    Total;9,654;6,391;6,606;8,209;9,124;10,238;13,382;;;
    Hombres;11,305;7,421;6,729;9,487;10,639;12,940;16,080;;;
    Mujeres;8,067;5,330;6,485;6,952;7,661;7,674;10,944;;;
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;;;;;;;;;;
    Total;3,544;2,298;2,147;2,925;3,434;3,627;5,088;;;
    Hombres;4,491;2,915;2,243;3,743;4,475;4,810;6,586;;;
    Mujeres;2,634;1,663;2,052;2,121;2,427;2,504;3,735;;;
014 Tumor maligno del hígado y vías biliares intrahepáticas;;;;;;;;;;
    Total;4,375;2,319;2,415;3,763;4,321;5,326;6,305;;;
    Hombres;5,936;3,059;3,240;5,536;5,810;7,109;8,625;;;
    Mujeres;2,874;1,556;1,601;2,019;2,882;3,635;4,208;;;
015 Tumor maligno del páncreas;;;;;;;;;;
    Total;6,447;3,400;3,984;5,000;6,269;7,150;9,699;;;
    Hombres;6,805;3,204;4,154;5,146;6,870;8,343;10,444;;;
    Mujeres;6,103;3,603;3,817;4,856;5,689;6,018;9,026;;;
016 Otros tumores malignos digestivos;;;;;;;;;;
    Total;2,172;1,396;1,363;1,598;2,025;2,839;3,041;;;
    Hombres;2,198;1,220;1,662;1,560;2,081;3,022;3,142;;;
    Mujeres;2,146;1,578;1,067;1,636;1,972;2,666;2,951;;;
017 Tumor maligno de la laringe;;;;;;;;;;
    Total;1,103;0,609;0,619;1,186;1,119;1,078;1,524;;;
    Hombres;2,061;1,158;1,205;2,157;2,081;2,001;2,907;;;
    Mujeres;0,182;0,043;0,041;0,230;0,190;0,202;0,274;;;
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;;;;;;;;;;
    Total;19,285;10,117;10,075;16,108;18,519;23,211;28,549;;;
    Hombres;30,039;15,896;16,117;25,316;28,305;36,224;45,194;;;
    Mujeres;8,948;4,157;4,105;7,054;9,064;10,864;13,508;;;
019 Otros tumores malignos respiratorios e intratorácicos;;;;;;;;;;
    Total;0,445;0,157;0,289;0,271;0,463;0,560;0,719;;;
    Hombres;0,684;0,186;0,415;0,364;0,746;0,979;1,157;;;
    Mujeres;0,215;0,128;0,164;0,179;0,190;0,162;0,324;;;
020 Tumores malignos del hueso y de los cartílagos articulares;;;;;;;;;;
    Total;0,297;0,126;0,206;0,142;0,251;0,394;0,497;;;
    Hombres;0,331;0,165;0,249;0,182;0,275;0,341;0,565;;;
