Comunidad;Usos;0 - 199;200 - 399;400 - 599;600 - 799;800 - 999;1.000 - 1.199;1.200 - 1.399;1.400 - 1.599;1.600 - 1.799;1.800 - 1.999;>= 2.000
ANDALUCÍA;Forestal arbolado;287.898,60;333.682,77;315.341,37;220.027,98;94.562,48;99.384,62;78.275,67;56.745,34;39.741,48;15.419,60;3.438,06
ANDALUCÍA;Forestal arbolado ralo;84.347,91;111.926,55;133.782,05;112.966,01;38.100,23;35.426,31;22.319,83;12.691,74;6.233,50;3.025,08;914,65
ANDALUCÍA;Forestal desarbolado;526.444,29;347.055,03;409.332,11;274.928,77;219.055,47;156.184,96;94.873,10;65.053,18;55.250,07;26.117,74;44.831,45
ANDALUCÍA;No forestal;1.526.809,76;783.060,01;830.365,88;514.875,51;400.609,25;316.302,72;43.395,71;11.099,61;4.298,19;2.343,14;1.430,31
ARAGÓN;Forestal arbolado;7.680,09;41.075,20;76.638,49;162.338,14;184.427,11;178.913,46;143.501,03;102.946,55;58.546,58;14.976,64;4.351,78
ARAGÓN;Forestal arbolado ralo;7.986,10;24.281,09;21.280,92;36.696,49;39.454,83;38.950,16;23.788,72;11.881,27;4.505,82;856,22;454,67
ARAGÓN;Forestal desarbolado;26.484,30;185.096,02;172.396,50;199.243,40;198.468,25;165.451,56;135.610,67;97.326,98;44.395,27;28.302,10;40.454,42
ARAGÓN;No forestal;90.803,81;736.797,32;563.335,94;275.849,87;227.901,78;205.137,53;92.315,78;31.264,67;8.127,50;9.173,27;52.558,23
CANARIAS;Forestal arbolado;33,83;708,85;2.970,12;6.836,60;13.039,04;19.542,01;16.793,60;11.557,01;10.124,83;7.143,37;2.823,57
CANARIAS;Forestal arbolado ralo;662,43;1.412,11;2.508,66;2.359,08;2.331,56;1.540,80;411,28;810,75;728,96;268,33;307,61
CANARIAS;Forestal desarbolado;144.677,05;88.754,44;52.202,60;32.603,36;21.877,14;12.582,13;6.954,50;3.451,70;1.446,41;1.135,21;15.381,64
CANARIAS;No forestal;115.430,09;67.762,59;27.545,36;19.092,46;12.330,57;6.012,74;2.796,70;928,71;650,2;312,12;5.852,88
CANTABRIA;Forestal arbolado;29.066,43;31.203,24;24.399,71;22.465,73;28.031,99;18.640,98;8.364,42;2.926,65;443,89;;
CANTABRIA;Forestal arbolado ralo;0;0;0;0;0;0;0;0;0;;
CANTABRIA;Forestal desarbolado;7.426,56;14.515,75;21.408,09;23.319,50;34.834,56;25.638,27;11.010,27;7.920,69;11.658,49;;
CANTABRIA;No forestal;100.362,04;31.803,62;19.819,86;16.468,07;27.519,30;6.979,14;1.665,15;927,59;3.319,36;;
CASTILLA LA MANCHA;Forestal arbolado;0;8.481,76;49.118,77;154.191,65;261.669,15;331.525,17;230.883,35;98.478,49;28.905,50;2.515,49;
CASTILLA LA MANCHA;Forestal arbolado ralo;0;20.385,24;121.249,68;170.187,18;200.248,88;110.089,44;45.529,10;13.859,98;3.192,39;710,12;
CASTILLA LA MANCHA;Forestal desarbolado;0;19.729,71;164.691,88;481.670,70;511.386,03;270.199,48;112.158,64;49.582,36;10.496,66;2.399,89;
CASTILLA LA MANCHA;No forestal;0;85.835,18;508.717,65;2.387.706,94;1.142.953,70;280.451,91;55.134,24;9.831,88;1.798,08;219,67;
CASTILLA Y LEÓN;Forestal arbolado;158,79;5.840,93;26.084,10;271.645,90;541.468,70;478.111,23;170.897,99;83.515,40;31.675,04;6.032,55;360,08
CASTILLA Y LEÓN;Forestal arbolado ralo;121,58;1.946,10;7.573,51;145.465,16;187.109,51;103.141,62;39.803,68;14.278,21;3.267,17;583,05;58,88
CASTILLA Y LEÓN;Forestal desarbolado;602,61;14.095,73;38.137,51;364.323,41;615.795,94;570.808,40;321.997,10;231.740,63;155.197,33;67.600,15;16.948,15
CASTILLA Y LEÓN;No forestal;339,01;9.966,16;84.700,04;1.675.054,37;2.382.617,27;607.885,16;88.365,72;26.408,83;12.518,79;9.231,34;8.929,51
CATALUÑA;Forestal arbolado;148.735,20;208.382,86;262.392,04;242.457,99;142.578,80;97.060,64;62.086,06;50.295,99;50.577,17;25.303,41;20.636,69
CATALUÑA;Forestal arbolado ralo;6.014,75;15.494,16;14.620,45;13.274,67;8.634,32;5.704,80;5.206,29;4.102,30;2.710,38;2.419,12;5.386,02
CATALUÑA;Forestal desarbolado;44.631,63;57.422,68;54.591,48;46.991,60;27.732,99;25.638,11;29.788,34;29.201,93;45.991,21;20.084,72;79.795,62
CATALUÑA;No forestal;483.761,97;411.592,71;232.107,46;124.058,15;36.042,75;27.648,07;16.953,47;7.499,93;4.892,56;1.009,35;9.814,63
COMUNIDAD DE MADRID;Forestal arbolado;0;0;13.466,48;52.721,51;38.019,82;17.994,06;16.157,15;12.852,61;12.370,87;;
COMUNIDAD DE MADRID;Forestal arbolado ralo;0;0;4.726,45;10.219,14;8.071,40;5.934,21;2.290,80;593,46;47,31;;
COMUNIDAD DE MADRID;Forestal desarbolado;0;0;18.350,05;50.466,73;50.050,64;35.714,26;17.563,65;11.261,44;14.096,23;;
COMUNIDAD DE MADRID;No forestal;0;0;89.844,82;277.225,07;37.626,49;4.659,61;426,19;41,53;0,4;;
COMUNIDAD FORAL DE NAVARRA;Forestal arbolado;4.907,87;25.940,80;57.094,67;101.191,10;90.589,16;47.924,83;12.608,02;2.493,10;1.152,83;;
COMUNIDAD FORAL DE NAVARRA;Forestal arbolado ralo;388,18;1.753,41;6.788,07;11.122,59;6.084,14;1.934,00;371,59;109,99;13,2;;
COMUNIDAD FORAL DE NAVARRA;Forestal desarbolado;441,22;36.138,66;45.910,39;35.228,27;20.231,73;13.615,30;4.390,31;627,97;110,84;;
COMUNIDAD FORAL DE NAVARRA;No forestal;5.162,42;201.277,51;226.674,05;46.285,83;13.264,80;8.157,02;3.109,09;2.731,36;3.247,70;;
COMUNIDAD VALENCIANA;Forestal arbolado;17.956,86;30.818,98;55.035,81;92.842,60;96.044,26;51.608,25;14.453,87;4.649,63;584,06;;
COMUNIDAD VALENCIANA;Forestal arbolado ralo;21.681,58;35.758,90;54.965,16;74.089,31;55.848,65;18.681,87;2.619,69;623,96;16,23;;
COMUNIDAD VALENCIANA;Forestal desarbolado;74.219,08;109.331,47;115.481,28;114.049,74;100.284,94;55.904,18;14.528,91;2.699,16;298,79;;
COMUNIDAD VALENCIANA;No forestal;485.065,13;218.376,32;149.805,21;149.997,46;81.464,48;21.745,10;3.583,95;272,58;120,67;;
EXTREMADURA;Forestal arbolado;14.836,40;326.004,43;283.952,41;123.240,98;38.742,28;16.118,53;5.918,00;1.253,11;4,29;0;
EXTREMADURA;Forestal arbolado ralo;15.332,37;336.770,25;252.845,82;27.719,24;7.882,56;4.723,23;2.144,61;102,08;0,19;0;
EXTREMADURA;Forestal desarbolado;8.719,38;396.460,88;283.650,34;66.021,49;24.682,70;11.894,80;10.067,59;8.364,96;5.648,99;5.485,36;
EXTREMADURA;No forestal;71.202,18;965.192,84;733.402,67;99.957,02;10.191,59;2.546,04;1.206,90;591,09;387,94;191,63;
GALICIA;Forestal arbolado;204.476,45;297.818,91;315.214,85;128.928,02;56.557,91;23.562,46;14.472,25;3.814,58;531,31;;
GALICIA;Forestal arbolado ralo;0;0;0;0;0;0;0;0;0;;
