;ANUARIO DE ESTADÍSTICA FORESTAL 2005;;;;;;;;;;;;;
;;;;;;;;;;;;;;
1. TERRITORIO;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Clasificación de los municipios por Provincias y Comunidades Autónomas según estratos de superficie y extensión media;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;Total;Superficie (km2);;;;;;;;;;;;Extensión
Provincias y;muni-;Hasta;De 5;De 10;De 15;De 20;De 30;De 50;De 100;De 200;De 300;De 500;Más de;media
Comunidades Autónomas;cipios;5;a 10;a 15;a 20;a 30;a 50;a 100;a 200;a 300;a 500;a 1.000;1.000;(km2)
  Coruña (La);94;1;1;1;1;6;16;40;24;4;–;–;–;84,6
  Lugo;67;–;2;–;–;–;1;14;42;4;4;–;–;147,1
  Orense;92;–;2;–;1;11;17;38;18;5;–;–;–;79
  Pontevedra;62;–;2;0;1;7;18;19;13;1;1;–;–;72,5
   GALICIA;315;1;7;1;3;24;52;111;97;14;5;–;–;93,9
;;;;;;;;;;;;;;
   P. DE ASTURIAS;78;–;2;1;–;5;10;25;15;12;6;2;–;135,9
;;;;;;;;;;;;;;
   CANTABRIA;102;1;6;3;12;11;34;28;4;3;–;–;–;52,2
;;;;;;;;;;;;;;
  Alava;51;–;6;3;5;4;12;13;6;2;–;–;–;59,5
  Guipúzcoa;88;13;18;15;7;11;14;9;1;–;–;–;–;22,5
  Vizcaya;111;20;21;16;18;13;13;8;2;–;–;–;–;20
   PAIS VASCO;250;33;45;34;30;28;39;30;9;2;–;–;–;28,9
;;;;;;;;;;;;;;
   NAVARRA (1);273;20;36;36;25;42;53;47;9;1;2;2;–;38,1
;;;;;;;;;;;;;;
   LA RIOJA;174;12;29;31;25;20;35;18;4;–;–;–;–;29
;;;;;;;;;;;;;;
  Huesca;202;4;11;10;15;23;40;44;42;10;2;1;–;77,4
  Teruel;236;1;1;5;14;40;73;70;24;4;4;–;–;62,8
  Zaragoza;292;14;12;23;39;45;61;55;30;4;6;2;1;59,2
   ARAGON;730;19;24;38;68;108;174;169;96;18;12;3;1;65,4
;;;;;;;;;;;;;;
  Barcelona;311;22;47;43;40;59;69;30;1;–;–;–;–;24,8
  Girona;221;14;41;36;29;26;46;27;2;–;–;–;–;26,7
  Lleida;231;2;18;24;24;40;34;53;31;4;1;–;–;52,7
  Tarragona;183;9;30;24;18;30;30;30;10;2;–;–;–;34,4
   CATALUÑA;946;47;136;127;111;155;179;140;44;6;1;–;–;33,9
;;;;;;;;;;;;;;
   BALEARES;67;2;1;5;6;3;17;15;15;2;1;–;–;74,5
;;;;;;;;;;;;;;
  Avila;248;3;18;41;52;42;53;32;5;2;–;–;–;32,5
  Burgos;371;5;45;73;48;68;61;40;25;4;2;–;–;38,5
  León;211;2;1;6;10;31;49;63;38;9;2;–;–;73,8
  Palencia;191;–;5;18;22;57;41;35;11;1;1;–;–;42,2
  Salamanca;362;4;25;46;34;87;103;53;9;1;–;–;–;34,1
  Segovia (2);210;3;15;26;44;52;42;19;7;2;–;–;–;33,1
  Soria;183;3;8;13;23;35;30;45;20;4;2;–;–;56,3
  Valladolid;225;–;4;24;37;56;60;34;10;–;–;–;–;36
  Zamora;248;1;5;33;28;53;61;51;14;1;1;–;–;42,6
   CASTILLA Y LEON;2.249;21;126;280;298;481;500;372;139;24;8;–;–;41,9
;;;;;;;;;;;;;;
   MADRID;179;1;7;11;14;45;51;39;9;1;1;–;–;48,8
;;;;;;;;;;;;;;
  Albacete;87;–;1;1;1;5;7;24;29;6;6;6;1;171,5
  Ciudad Real;102;2;1;1;2;3;6;23;27;15;16;5;1;194,2
  Cuenca;238;6;2;3;7;23;69;83;37;6;1;1;–;72
  Guadalajara;288;1;7;33;42;67;75;43;15;4;1;–;–;42,4
  Toledo;204;1;5;8;19;30;43;48;36;9;4;1;–;75,3
   CASTILLA-LA MANCHA;919;10;16;46;71;128;200;221;144;40;28;13;2;86,5
;;;;;;;;;;;;;;
  Alicante;141;16;21;15;14;14;25;25;7;1;3;–;–;41,3
  Castellón;135;4;7;15;14;19;30;30;15;–;1;–;–;49,1
  Valencia;542;63;43;21;17;21;35;36;23;5;1;1;–;40,6
   C. VALENCIANA;542;83;71;51;45;54;90;91;45;6;5;1;–;42,9
;;;;;;;;;;;;;;
   R. DE MURCIA;45;–;1;3;4;5;5;5;6;5;3;7;1;251,4
;;;;;;;;;;;;;;
  Badajoz;164;6;3;3;5;13;25;45;32;17;10;4;1;133,5
  Cáceres;219;2;5;10;9;24;52;60;40;9;3;4;1;90,7
   EXTREMADURA;383;8;8;13;14;37;77;105;72;26;13;8;2;108,7
;;;;;;;;;;;;;;
  Almería;102;3;2;3;8;15;20;30;8;9;3;1;–;86
  Cádiz;44;–;–;2;2;2;5;12;10;4;5;1;1;169
  Córdoba;75;1;1;2;4;5;6;13;20;9;8;5;1;183,6
  Granada;168;8;10;14;9;22;26;47;19;4;7;2;–;75,3
  Huelva;79;–;1;4;1;8;15;15;17;11;6;1;–;128,2
  Jaén;97;–;2;2;1;2;20;23;28;11;6;2;–;139,1
  Málaga;100;2;6;6;6;17;21;21;18;–;2;1;–;73,1
  Sevilla;105;6;4;8;6;7;13;20;19;10;8;4;–;133,4
   ANDALUCIA;770;20;26;41;37;78;126;181;139;58;45;17;2;113,8
;;;;;;;;;;;;;;
  Palmas (Las);34;–;–;–;1;4;8;5;8;5;3;–;–;119,6
  S. C. Tenerife;53;–;1;3;2;8;16;9;13;1;–;–;–;63,8
   CANARIAS;87;–;1;3;3;12;24;14;21;6;3;–;–;86,1
;;;;;;;;;;;;;;
   Ciudades Autonómas de Ceuta y Melilla;2;;;1;1;;;;;;;;;15,8
  Ceuta ;1;–;–;–;1;–;–;–;–;–;–;–;–;19,3
  Melilla;1;–; ;1;–;–;–;–;–;–;–;–;–;12,3
;;;;;;;;;;;;;;
ESPAÑA;8.111;278;542;725;767;1.236;1.666;1.611;868;224;133;53;8;62,4
Fuente de información: Instituto Geográfico Nacional;;;;;;;;;;;;;;
Fuente: Anuario Estadístico de España;;;;;;;;;;;;;;
(1) Incluye Bárdenas Reales, territorio no adscrito en ningún municipio;;;;;;;;;;;;;;
(2) Incluye Común Grande de las Pegueras, territorio adscrito a 36 municipios;;;;;;;;;;;;;;
