;ANUARIO DE ESTADÍSTICA FORESTAL 2005;;;;;
;;;;;;
1. TERRITORIO;;;;;;
;;;;;;
Distribución por Provincias y Comunidades Autónomas de la extensión superficial según  zonas altimétricas ;;;;;;
;;;;;;
Provincias y;Extensión;Altitud;;;;
Comunidades Autónomas; superficial total;Hasta 200 m;De 201 a 600 m;De 601 a 1.000 m;De 1.001 a 2.000 m;Más de 2.000 m
;(km2);;;;;
  Coruña (A);7.950;2.758;5.029;163;–;–
  Lugo;9.856;572;5.991;2.807;486;–
  Ourense;7.273;160;2.117;3.498;1.498;–
  Pontevedra;4.495;1.528;2.155;810;2;–
   GALICIA;29.574;5.018;15.292;7.278;1.986;–
;;;;;;
   P. DE ASTURIAS;10.604;2.078;3.385;2.660;2.456;25
;;;;;;
   CANTABRIA;5.321;1.373;1.394;1.544;990;20
;;;;;;
  Alava;3.037;30;1.218;1.623;166;–
  Guipúzcoa;1.980;506;1.137;283;54;–
  Vizcaya;2.217;978;1.059;163;17;–
   PAIS VASCO;7.234;1.514;3.414;2.069;237;–
;;;;;;
   NAVARRA;10.391;107;6.063;3.426;795;–
;;;;;;
   LA RIOJA;5.045;–;1.762;1.664;1.609;10
;;;;;;
  Huesca;15.636;432;6.483;4.115;3.652;954
  Teruel;14.810;9;2.217;3.421;9.163;–
  Zaragoza;17.274;1.086;9.462;5.612;1.114;–
   ARAGON;47.720;1.527;18.162;13.148;13.929;954
;;;;;;
  Barcelona;7.728;1.364;1.567;3.687;535;575
  Girona;5.910;2.433;958;1.461;855;203
  Lleida;12.173;351;4.637;4.175;1.601;1.409
  Tarragona;6.303;2.307;2.498;1.347;151;–
   CATALUÑA;32.114;6.455;9.660;10.670;3.142;2.187
;;;;;;
   BALEARES;4.992;4.228;627;87;50;–
;;;;;;
  Avila;8.050;–;428;2.679;4.923;20
  Burgos;14.292;–;616;10.306;3.370;–
  León;15.581;–;403;7.372;7.772;34
  Palencia;8.052;–;–;6.133;1.889;30
  Salamanca;12.350;20;323;11.354;631;22
  Segovia;6.921;–;–;4.065;2.827;29
  Soria;10.306;–;–;3.014;7.270;22
  Valladolid;8.110;–;–;8.110;–;–
  Zamora;10.561;–;–;9.615;944;2
   CASTILLA Y LEON;94.223;20;1.770;62.648;29.626;159
;;;;;;
   MADRID;8.028;–;1.285;4.991;1.426;326
;;;;;;
  Albacete;14.926;–;1.175;11.141;2.610;–
  Ciudad Real;19.813;–;2.496;16.839;478;–
  Cuenca;17.140;–;25;11.465;5.650;–
  Guadalajara;12.214;–;–;5.027;7.178;9
  Toledo;15.370;–;6.286;8.621;463;–
   CASTILLA–LA MANCHA;79.463;–;9.982;53.093;16.379;9
;;;;;;
  Alicante;5.817;2.147;2.330;1.340;–;–
  Castellón;6.662;1.201;2.278;2.242;911;–
  Valencia;10.776;2.737;3.492;3.934;643;–
   C. VALENCIANA;23.255;6.085;8.100;7.516;1.554;–
;;;;;;
   R. DE MURCIA;11.313;1.692;4.850;3.641;1.130;–
;;;;;;
  Badajoz;21.766;1.099;19.148;1.519;–;–
  Cáceres;19.868;17;17.025;2.124;702;–
   EXTREMADURA;41.634;1.116;36.173;3.643;702;–
;;;;;;
  Almería;8.775;784;1.907;3.401;2.587;96
  Cádiz;7.436;5.179;1.824;433;–;–
  Córdoba;13.771;1.791;8.589;3.391;–;–
  Granada;12.647;205;924;4.986;5.996;536
  Huelva;10.128;5.513;4.248;367;–;–
  Jaén;13.496;79;5.964;4.733;2.715;5
  Málaga;7.308;1.289;3.516;2.360;143;–
  Sevilla;14.036;8.962;4.954;120;–;–
   ANDALUCIA;87.597;23.802;31.926;19.791;11.441;637
;;;;;;
  Palmas (Las);4.066;1.910;1.584;314;258;–
  S. C. Tenerife;3.381;658;940;467;1.056;260
   CANARIAS;7.447;2.568;2.524;781;1.314;260
;;;;;;
   Ciudades Autonómas de Ceuta y Melilla;32;31;1;–;–;–
  Ceuta ;19;18;1;–;–;–
  Melilla;13;13;–;–;–;–
;;;;;;
ESPAÑA;505.987;57.614;156.370;198.650;88.766;4.587
Fuente de información: Instituto Geografico Nacional;;;;;;
Fuente: Anuario Estadístico de España;;;;;;
