ANDALUCÍA;0 - 199;200 - 399;400 - 599;600 - 799;800 - 999;1.000 - 1.199;1.200 - 1.399;1.400 - 1.599;1.600 - 1.799;1.800 - 1.999;>= 2.000;Total
Forestal arbolado;287.898,60;333.682,77;315.341,37;220.027,98;94.562,48;99.384,62;78.275,67;56.745,34;39.741,48;15.419,60;3.438,06;1.544.517,97
Forestal arbolado ralo;84.347,91;111.926,55;133.782,05;112.966,01;38.100,23;35.426,31;22.319,83;12.691,74;6.233,50;3.025,08;914,65;561.733,86
Forestal desarbolado;526.444,29;347.055,03;409.332,11;274.928,77;219.055,47;156.184,96;94.873,10;65.053,18;55.250,07;26.117,74;44.831,45;2.219.126,17
No forestal;1.526.809,76;783.060,01;830.365,88;514.875,51;400.609,25;316.302,72;43.395,71;11.099,61;4.298,19;2.343,14;1.430,31;4.434.590,09
TOTAL;2.425.500,56;1.575.724,36;1.688.821,41;1.122.798,27;752.327,43;607.298,61;238.864,31;145.589,87;105.523,24;46.905,56;50.614,47;8.759.968,09
ARAGÓN;0 - 199;200 - 399;400 - 599;600 - 799;800 - 999;1.000 - 1.199;1.200 - 1.399;1.400 - 1.599;1.600 - 1.799;1.800 - 1.999;>= 2.000;Total
Forestal arbolado;7.680,09;41.075,20;76.638,49;162.338,14;184.427,11;178.913,46;143.501,03;102.946,55;58.546,58;14.976,64;4.351,78;975.395,07
Forestal arbolado ralo;7.986,10;24.281,09;21.280,92;36.696,49;39.454,83;38.950,16;23.788,72;11.881,27;4.505,82;856,22;454,67;210.136,29
Forestal desarbolado;26.484,30;185.096,02;172.396,50;199.243,40;198.468,25;165.451,56;135.610,67;97.326,98;44.395,27;28.302,10;40.454,42;1.293.229,47
No forestal;90.803,81;736.797,32;563.335,94;275.849,87;227.901,78;205.137,53;92.315,78;31.264,67;8.127,50;9.173,27;52.558,23;2.293.265,70
TOTAL;132.954,30;987.249,63;833.651,85;674.127,90;650.251,97;588.452,71;395.216,20;243.419,47;115.575,17;53.308,23;97.819,10;4.772.026,53
